theta,t_c,gp_mean,L_true
23.600,0.475,-0.0251,0.0000
24.200,0.475,-0.0209,0.0000
24.800,0.475,-0.0167,0.0000
25.400,0.475,-0.0127,0.0000
26.000,0.475,-0.0089,0.0000
26.600,0.475,-0.0055,0.0000
27.200,0.475,-0.0025,0.0000
27.800,0.475,-0.0001,0.0000
28.400,0.475,0.0018,0.0000
29.000,0.475,0.0030,0.0000
29.600,0.475,0.0036,0.0000
30.200,0.475,0.0036,0.0000
30.800,0.475,0.0029,0.0000
31.400,0.475,0.0017,0.0000
32.000,0.475,0.0000,0.0000
8.000,0.512,0.3703,0.3392
8.600,0.512,0.3369,0.3052
9.200,0.512,0.3040,0.2712
9.800,0.512,0.2718,0.2372
10.400,0.512,0.2405,0.2109
11.000,0.512,0.2103,0.1885
11.600,0.512,0.1816,0.1662
12.200,0.512,0.1545,0.1425
12.800,0.512,0.1291,0.1164
13.400,0.512,0.1056,0.0903
14.000,0.512,0.0840,0.0642
14.600,0.512,0.0646,0.0502
15.200,0.512,0.0473,0.0362
15.800,0.512,0.0321,0.0222
16.400,0.512,0.0190,0.0143
17.000,0.512,0.0080,0.0094
17.600,0.512,-0.0011,0.0045
18.200,0.512,-0.0082,0.0011
18.800,0.512,-0.0135,0.0008
19.400,0.512,-0.0172,0.0004
20.000,0.512,-0.0194,0.0000
20.600,0.512,-0.0203,0.0000
21.200,0.512,-0.0201,0.0000
21.800,0.512,-0.0189,0.0000
22.400,0.512,-0.0169,0.0000
23.000,0.512,-0.0143,0.0000
23.600,0.512,-0.0114,0.0000
24.200,0.512,-0.0081,0.0000
24.800,0.512,-0.0049,0.0000
25.400,0.512,-0.0016,0.0000
26.000,0.512,0.0014,0.0000
26.600,0.512,0.0041,0.0000
27.200,0.512,0.0064,0.0000
27.800,0.512,0.0082,0.0000
28.400,0.512,0.0095,0.0000
29.000,0.512,0.0102,0.0000
29.600,0.512,0.0102,0.0000
30.200,0.512,0.0097,0.0000
30.800,0.512,0.0086,0.0000
31.400,0.512,0.0070,0.0000
32.000,0.512,0.0048,0.0000
8.000,0.550,0.4195,0.3742
8.600,0.550,0.3853,0.3424
9.200,0.550,0.3513,0.3107
9.800,0.550,0.3180,0.2789
10.400,0.550,0.2855,0.2527
11.000,0.550,0.2541,0.2292
11.600,0.550,0.2239,0.2057
12.200,0.550,0.1953,0.1809
12.800,0.550,0.1684,0.1537
13.400,0.550,0.1433,0.1264
14.000,0.550,0.1202,0.0992
14.600,0.550,0.0991,0.0799
15.200,0.550,0.0801,0.0607
15.800,0.550,0.0633,0.0414
16.400,0.550,0.0485,0.0285
17.000,0.550,0.0359,0.0187
